question,answer,label
Are bond terms applicable to faculty currently pursuing PhD?,"Yes, the bond and breach terms apply to all faculty currently enrolled while working.",Faculty member_PhD Study Policy
How is the penalty calculated for bond breach?,It includes full PhD program costs plus 25% of the gross monthly salary for each unserved month.,Faculty member_PhD Study Policy
Will SIBAU continue granting study leave after this decision?,"No, study leave cases are ended; instead, faculty will be issued NOCs to study while working.",Faculty member_PhD Study Policy
What replaces study leave for PhD studies?,Faculty will be granted NOCs to study while continuing their regular work at SIBAU.,Faculty member_PhD Study Policy
Is this BASR decision final?,"No, it will be presented to the Syndicate for further and final approval.",Faculty member_PhD Study Policy
What is the impact of the BASR decision on previous study leave cases?,All existing study leave cases will be converted into working-study NOC arrangements.,Faculty member_PhD Study Policy
Can Lab Engineers pursue PhDs while working?,"Yes, Lab Engineers are considered associate faculty and may pursue PhDs while working.",Faculty member_PhD Study Policy
Are course waivers applicable to Lab Engineers as well?,"Yes, the same course waivers granted to faculty are also applicable to Lab Engineers.",Faculty member_PhD Study Policy
Do Lab Engineers have to sign a PhD bond too?,"Yes, Lab Engineers must also sign a service bond and are subject to the same breach penalties.",Faculty member_PhD Study Policy
Are breach of bond penalties the same for Lab Engineers?,"Yes, Lab Engineers are equally liable under the bond terms if breached.",Faculty member_PhD Study Policy
What is the admission process at Sukkur IBA?,Students must pass the Sukkur IBA admission test and an interview to gain admission.,Student Handbook
Is there an age limit for admission?,No specific age limit is mentioned in the handbook.,Student Handbook
What programs does Sukkur IBA offer?,"It offers undergraduate, graduate, and doctoral programs in business, computer science, engineering, education, and mathematics.",Student Handbook
Are scholarships available?,"Yes, merit-based and need-based scholarships are available.",Student Handbook
What are the criteria for merit-based scholarships?,High academic performance and test scores are required.,Student Handbook
Can students apply for financial aid?,"Yes, students can apply for financial assistance based on need.",Student Handbook
Is hostel accommodation available?,"Yes, separate hostels for male and female students are available.",Student Handbook
What are the hostel facilities?,"Hostels provide furnished rooms, mess, internet, and laundry services.",Student Handbook
Is there a dress code?,"Yes, students must follow a decent dress code.",Student Handbook
Are students allowed to use mobile phones in class?,"No, mobile phones must be turned off during class.",Student Handbook
What is the attendance requirement?,A minimum of 80% attendance is required.,Student Handbook
Can students be expelled for poor attendance?,"Yes, students may be barred from exams or expelled for insufficient attendance.",Student Handbook
What is the grading system?,Sukkur IBA uses a GPA-based grading system.,Student Handbook
What is the minimum GPA required to stay enrolled?,A minimum cumulative GPA of 2.00 is required.,Student Handbook
Are students allowed to repeat courses?,"Yes, courses with grades below ""C"" can be repeated.",Student Handbook
What happens if a student fails a course?,The course must be repeated and passed to meet graduation requirements.,Student Handbook
How are internships managed?,Internships are mandatory and arranged through the Career Development Center.,Student Handbook
Is there a placement cell?,"Yes, the CDC assists students with job placements.",Student Handbook
Are laptops required?,"Yes, students are required to have laptops.",Student Handbook
Is there a library on campus?,"Yes, with digital and physical resources.",Student Handbook
What are the library hours?,Library hours are listed on the official website and notice boards.,Student Handbook
Is plagiarism allowed?,"No, strict actions are taken against academic dishonesty.",Student Handbook
Can students appeal academic decisions?,"Yes, through a formal process to the relevant committee.",Student Handbook
What is the duration of undergraduate programs?,Typically 4 years.,Student Handbook
What is the credit hour requirement for graduation?,Around 130–140 credit hours for undergraduate programs.,Student Handbook
Are there student societies?,"Yes, various academic and cultural societies exist.",Student Handbook
Is participation in societies mandatory?,"No, but it is encouraged.",Student Handbook
Are sports facilities available?,"Yes, indoor and outdoor sports are supported.",Student Handbook
Is medical assistance available on campus?,"Yes, basic first aid and medical services are provided.",Student Handbook
Are parent-teacher meetings conducted?,"Yes, especially for performance reviews.",Student Handbook
Can students transfer from other universities?,"Yes, subject to meeting transfer criteria.",Student Handbook
What documents are required for admission?,"Academic transcripts, CNIC/B-Form, photos, and test scores.",Student Handbook
How is the fee structure managed?,Detailed fee structure is available on the website and prospectus.,Student Handbook
Are there late fee penalties?,"Yes, for delayed fee submission.",Student Handbook
How are examinations conducted?,Midterm and final exams are held each semester.,Student Handbook
What is the policy for make-up exams?,Allowed only with valid reasons and prior approval.,Student Handbook
Is ragging or harassment tolerated?,"No, it is strictly prohibited and punishable.",Student Handbook
Are students allowed to take semester breaks?,Only under special circumstances with permission.,Student Handbook
What is the role of faculty advisors?,To guide students academically and professionally.,Student Handbook
How can students raise grievances?,Through the student grievance committee.,Student Handbook
Are international students allowed to apply?,"Yes, with valid visa and academic equivalency.",Student Handbook
Are classes conducted in English?,"Yes, the medium of instruction is English.",Student Handbook
What is the examination grading policy?,"Grades are awarded based on assignments, quizzes, midterms, and finals.",Student Handbook
Are there industry visits or guest lectures?,"Yes, frequently arranged by departments.",Student Handbook
How is student discipline maintained?,Through a defined code of conduct and disciplinary committee.,Student Handbook
Can students suggest curriculum changes?,Suggestions may be submitted through proper channels.,Student Handbook
Is alumni support available?,"Yes, through the alumni office and events.",Student Handbook
What are semester registration deadlines?,Published in the academic calendar.,Student Handbook
Are research opportunities available?,"Yes, especially for graduate students.",Student Handbook
Are students evaluated on soft skills?,"Yes, soft skills are part of student grooming initiatives.",Student Handbook
Who approves the examination duties procedures at Sukkur IBA University?,The Vice Chancellor approves them upon the committee’s recommendation.,Examination Duties Assignment
Which types of exams are covered under these procedures?,Only Mid Term and Final Term Examinations of regular degree programs.,Examination Duties Assignment
Who is responsible for overseeing the examination process?,The Controller of Examination.,Examination Duties Assignment
What is the role of the Head of Department (HoD) in invigilation duty assignment?,"To provide active faculty lists, review schedules, and handle departmental concerns.",Examination Duties Assignment
How early must faculty lists be shared by the HoD?,At least one month in advance.,Examination Duties Assignment
When must the final invigilation schedule be shared with faculty?,At least 10 days before the start of exams.,Examination Duties Assignment
What should a faculty member do if they cannot attend their assigned duty?,Provide a substitute invigilator in consultation with the HoD.,Examination Duties Assignment
When should faculty report to the exam center?,At least 30 minutes before the exam starts.,Examination Duties Assignment
What are invigilators responsible for during exams?,"Distributing materials, ensuring rules compliance, and collecting answer books.",Examination Duties Assignment
What should invigilators do if they suspect cheating?,Report it immediately to the Head Invigilator.,Examination Duties Assignment
What is the responsibility of the course teacher during exams?,"Prepare question papers, distribute them, collect answer sheets, and record absentees.",Examination Duties Assignment
Who photocopies the exam question papers?,The course teacher.,Examination Duties Assignment
How many duties are assigned to a Lecturer/Lab Engineer?,Typically n duties as the baseline.,Examination Duties Assignment
Are duties assigned equally to all faculty ranks?,"No, they vary by designation (e.g., Lecturer, Assistant Professor, etc.).",Examination Duties Assignment
What happens if a faculty member is on official leave?,They may be exempted from duties with Vice Chancellor's prior approval.,Examination Duties Assignment
How are conflicts in the invigilation schedule resolved?,Faculty report conflicts to the HoD with replacements within 2 days.,Examination Duties Assignment
Is invigilation duty considered optional?,"No, it is a high-priority task for faculty.",Examination Duties Assignment
Can a faculty member on additional charge skip duties?,"No, they must coordinate with the HoD and update the ERP system.",Examination Duties Assignment
What happens to answer books after the exam?,"They must be counted, checked for completeness, and returned immediately.",Examination Duties Assignment
Who signs the answer books during exams?,The assigned invigilators.,Examination Duties Assignment
Are office boys monitored during exams?,"Yes, invigilators must ensure no unauthorized materials enter exam rooms.",Examination Duties Assignment
Are exam blocks minimized in scheduling?,"Yes, by mixing multiple classes in a room when possible.",Examination Duties Assignment
What should a course teacher do during the first hour of the exam?,Visit all rooms of their course and respond to student queries.,Examination Duties Assignment
How should answer books be stored after exams?,In a safe place designated for grading.,Examination Duties Assignment
Who initiates action against absent invigilators?,The Head of Department.,Examination Duties Assignment
What format is used for the duty schedule?,A structured schedule based on academic ranks and departmental needs.,Examination Duties Assignment
Can meetings be held during invigilation time?,"No, meetings must be scheduled outside duty times.",Examination Duties Assignment
What should be done if there is a shortage of answer books?,Immediate verification and reporting by the course teacher.,Examination Duties Assignment
Are there different schedules for undergrad and grad programs?,"No, a single schedule is used for both.",Examination Duties Assignment
How often is this document reviewed?,It is subject to review and updates as needed.,Examination Duties Assignment
What are the duties of an Assistant Professor during exams?,"Perform n-1 invigilation duties, assist in conducting smooth exams, monitor exam rooms.",Examination Duties Assignment
What are the duties of an Associate Professor during exams?,Assigned n-2 duties; expected to support the exam process and act as senior monitors.,Examination Duties Assignment
What are the duties of a Professor during exams?,Perform n-3 invigilation duties; lead and ensure high-level oversight.,Examination Duties Assignment
When did the new Faculty Workload Policy at SIBAU take effect?,"It was implemented on July 10, 2023.",Faculty Workload Policy
Who approved the Faculty Workload Policy?,The Vice Chancellor of Sukkur IBA University.,Faculty Workload Policy
What is the teaching load for full-time Ph.D. faculty?,Three courses per semester (six per academic year).,Faculty Workload Policy
What is the teaching load for full-time non-Ph.D. faculty?,Four courses per semester (eight per academic year).,Faculty Workload Policy
What constitutes one teaching course?,One course equals three credit hours.,Faculty Workload Policy
What is the mandatory research requirement for Ph.D. faculty?,At least one publication with a non-zero Journal Prestige Index (JPI) per academic year.,Faculty Workload Policy
What is the JPI?,Journal Prestige Index as defined by HEC on https://hjrs.hec.gov.pk/.,Faculty Workload Policy
Are there research rewards for mandatory publications?,"No, mandatory publications do not qualify for rewards.",Faculty Workload Policy
Can one publication count for multiple authors?,"Yes, for up to two faculty members among the first five authors.",Faculty Workload Policy
How does unique course preparation affect teaching load?,Teaching more than two unique courses reduces the load to three courses per semester.,Faculty Workload Policy
What qualifies as a unique course?,A course with a different title or content.,Faculty Workload Policy
Is lab work considered a separate preparation?,"No, lab work is counted as part of course preparation.",Faculty Workload Policy
What is the minimum teaching load for faculty with administrative roles?,Two courses per semester.,Faculty Workload Policy
Which roles qualify for teaching load reduction?,"Deans, Directors, HoDs, Program Coordinators, FYP Coordinators, and Accreditation Coordinators.",Faculty Workload Policy
How many courses can such faculty be expected to teach?,Typically two; extra courses are considered paid.,Faculty Workload Policy
How is the course load reduced for Program and FYP Coordinators?,They receive one course load reduction during the semester they serve.,Faculty Workload Policy
What is the lowest possible teaching load in a semester?,"Two courses, even with all applicable reductions.",Faculty Workload Policy
Can a faculty member teach extra courses?,"Yes, up to two extra courses per semester (paid).",Faculty Workload Policy
What is the rate for extra undergraduate teaching?,"PKR 2,500 per hour.",Faculty Workload Policy
What is the rate for extra Master/PhD level teaching?,"PKR 4,000 per hour.",Faculty Workload Policy
How is extra lab teaching compensated?,"At a fixed rate of PKR 20,000/month.",Faculty Workload Policy
How is one lab course equivalent in workload?,Three hours of lab equals half of a full course.,Faculty Workload Policy
Are faculty responsible for duties besides teaching?,"Yes, including administration, committee work, and academic services.",Faculty Workload Policy
Who assigns such additional duties?,The relevant Head of Department (HoD).,Faculty Workload Policy
Are Final Year Projects (FYPs) compensated?,"Yes, PKR 25,000 per FYP upon successful completion.",Faculty Workload Policy
What is the duration of an FYP?,At least 12 months (two semesters).,Faculty Workload Policy
Are FYP payments linked to teaching load?,"Yes, payment is subject to fulfilling teaching load during FYP supervision.",Faculty Workload Policy
What is the compensation for supervising Master's theses?,"PKR 50,000 per completed thesis.",Faculty Workload Policy
What is the compensation for supervising Ph.D. theses?,"PKR 150,000 per completed thesis.",Faculty Workload Policy
Who determines FYP completion?,The HoD in consultation with the FYP Coordinator.,Faculty Workload Policy
Who oversees implementation of the workload policy?,Heads of Departments (HoDs).,Faculty Workload Policy
How is policy compliance tracked?,Through annual reports from HoDs.,Faculty Workload Policy
Can faculty be assigned multiple sections of the same course?,"Yes, to optimize resources and ensure consistency.",Faculty Workload Policy
Can courses with different codes but same content be merged?,"Yes, this is recommended where applicable.",Faculty Workload Policy
When will the policy be reviewed?,Every three years; the first review is due in 2026.,Faculty Workload Policy
Does the policy override previous workload rules?,"Yes, it supersedes all prior workload policies.",Faculty Workload Policy
Is faculty teaching overloading allowed?,"Yes, but not more than two paid extra courses per semester.",Faculty Workload Policy
Is the research requirement optional for non-Ph.D. faculty?,The policy only mandates it for Ph.D. faculty.,Faculty Workload Policy
Can administrative roles entirely eliminate teaching load?,"No, a minimum of two courses must still be taught.",Faculty Workload Policy
Who determines and approves administrative role reductions?,HoDs in consultation with faculty Deans.,Faculty Workload Policy
What happens if a faculty member teaches more than their assigned load?,It is considered extra teaching and is compensated per policy rates.,Faculty Workload Policy
Are faculty allowed to choose which extra courses they teach?,This is typically managed by HoDs based on departmental needs and faculty availability.,Faculty Workload Policy
Can one faculty member supervise multiple FYPs in a year?,"Yes, provided they meet their minimum teaching load requirements.",Faculty Workload Policy
Is compensation for thesis supervision automatic?,"No, it is granted after successful completion and verification by the HoD.",Faculty Workload Policy
Are lab contact hours treated the same as lecture hours?,"No, labs are compensated separately and differently than regular courses.",Faculty Workload Policy
Can thesis supervision replace teaching duties?,"No, it is an additional responsibility and not a substitute for required teaching load.",Faculty Workload Policy
How is faculty teaching load adjusted for new course preparations?,"If more than two unique courses are prepared, the maximum load is reduced to three.",Faculty Workload Policy
Who ensures that teaching quality is maintained despite extra courses?,The relevant HoD is responsible for monitoring and ensuring quality.,Faculty Workload Policy
What is the consequence of not meeting the research requirement?,"Non-compliance may affect annual evaluations or reappointments, as per university policy.",Faculty Workload Policy
Can this policy be revised earlier than the three-year cycle?,"Yes, if required by changing university needs or strategic goals.",Faculty Workload Policy
What is SISC?,"SISC stands for Sukkur IBA Students Council, which manages student-related activities at Sukkur IBA University.",SISC Policy
Who approves the SISC policy?,The Vice Chancellor approves it pending Syndicate approval.,SISC Policy
How are council members elected?,Each department elects 3 students as council members through annual elections.,SISC Policy
How is SISC Leadership selected?,It is selected by a majority vote among elected council members in a general meeting.,SISC Policy
What are the key leadership positions in SISC?,"President, Vice President, General Secretary, and Treasurer.",SISC Policy
Who oversees the elections?,"The Career Development Center, with support from the Registrar’s Office.",SISC Policy
When are SISC elections held?,"Annually, typically in the last week of April.",SISC Policy
Who can vote in SISC elections?,Only regular students of the main campus with valid student ID cards.,SISC Policy
Are MS/MPhil/PhD students eligible for voting?,"No, they are not eligible to vote.",SISC Policy
What is the CGPA requirement to contest in elections?,A minimum CGPA of 2.70.,SISC Policy
Can final semester students contest for SISC?,"No, they must have at least one year remaining in their degree.",SISC Policy
Are students in extra semesters eligible?,"No, they are not eligible.",SISC Policy
Can elected leadership re-contest?,"No, they cannot contest again for another tenure.",SISC Policy
How many societies exist under SISC?,There are 10 approved societies.,SISC Policy
Can a student join more than two societies?,"No, a student can only join up to two societies per year.",SISC Policy
How is the budget allocated?,The Coordinator SISC prepares the budget in coordination with Finance and CDC.,SISC Policy
What is the SISC fee per student?,"Rs. 1,000 per semester.",SISC Policy
Can external entities contribute to SISC?,"Yes, alumni, corporate or other entities can contribute.",SISC Policy
Is there an honorarium for patrons?,"Yes, Rs. 25,000 per tenure/year, exclusive of taxes.",SISC Policy
Who selects society patrons?,The Supervisory Committee selects them based on EOI called by Registrar Office.,SISC Policy
What are the eligibility criteria for patrons?,"Faculty/staff grade 17+, preferably with relevant experience.",SISC Policy
What happens if a patron resigns?,The position is refilled via EOI or VC nomination within a week.,SISC Policy
What if no one applies for a vacant patron post?,The VC nominates someone from regular employees (BPS-17 or above).,SISC Policy
Can a patron be removed?,"Yes, by the Supervisory Committee for non-compliance or disciplinary issues.",SISC Policy
Can a student be removed from SISC?,"Yes, for misconduct, poor academics, or disciplinary issues.",SISC Policy
Can removed members rejoin SISC?,"No, they cannot rejoin at any level during their degree.",SISC Policy
What are the responsibilities of Coordinator SISC?,"Guide leadership, publish activity calendar, assist in elections, and coordinate with committees.",SISC Policy
What are the responsibilities of a Patron?,"Guide societies, approve proposals, maintain records, and ensure financial discipline.",SISC Policy
What is the role of the SISC President?,"Represent the student body, preside over meetings, and supervise operations.",SISC Policy
What is the role of the Vice President?,Assist and substitute for President and coordinate societies.,SISC Policy
What does the General Secretary do?,"Prepare agendas, minutes, coordinate operations, and manage records and social media.",SISC Policy
What is the Treasurer’s role?,"Maintain financial records, review budgets, and manage fundraising.",SISC Policy
Who can become a society coordinator?,Council members selected by SISC Leadership.,SISC Policy
How are society volunteers recruited?,By Coordinators and Co-Coordinators under the Patron's supervision.,SISC Policy
Can a society event be canceled?,"Yes, by the Patron with Supervisory Committee permission.",SISC Policy
How are elections for SISC managed?,By the Election Committee chaired by Director CDC.,SISC Policy
Can students withdraw their nominations?,"Yes, up to three working days before elections.",SISC Policy
What is the role of the Election Committee?,"Plan elections, assign duties, and ensure smooth conduct.",SISC Policy
Is campaigning allowed during elections?,"Yes, with prior approval; unethical or disruptive behavior is prohibited.",SISC Policy
Is digital campaigning permitted?,"Yes, but no unethical content is allowed.",SISC Policy
Can only one member contest for leadership per department?,"Yes, only one council member per department per leadership position.",SISC Policy
How many council members support a leadership nominee?,At least eight council members.,SISC Policy
What is the role of council members?,"Represent societies, prepare proposals, and assist in university events.",SISC Policy
Can council members be removed?,"Yes, for disciplinary or academic issues.",SISC Policy
How are vacant leadership positions filled?,By runner-up or Supervisory Committee nomination.,SISC Policy
Can societies operate without approval?,"No, all activities must be approved and budgeted.",SISC Policy
Are members allowed absence relief?,Only with prior Supervisory Committee approval in special cases.,SISC Policy
Who supervises event proposal submissions?,Coordinator SISC.,SISC Policy
Who audits the SISC expenses?,Representative from the Finance Department.,SISC Policy
When must the Activity Calendar be submitted?,By May each year.,SISC Policy
Can the Supervisory Committee override elections?,"Yes, they can nominate members if needed.",SISC Policy
Who approved the revised policy for enrolment of additional courses?,The Vice Chancellor of Sukkur IBA University.,Additional Courses Policy
When is the revised policy effective from?,Spring Semester 2024.,Additional Courses Policy
Can students from Semester 1 to 6 take additional courses during regular semesters?,"No, they are not permitted.",Additional Courses Policy
When can Semester 1 to 6 students take additional courses?,Only during the Summer Semester.,Additional Courses Policy
How many additional courses can early semester students take in the summer?,A maximum of three (03) courses.,Additional Courses Policy
Can 7th and 8th semester students take additional courses in regular semesters?,"Yes, they are permitted.",Additional Courses Policy
Is there any program-specific restriction in the policy?,"Yes, BS (Accounting and Finance) has different rules.",Additional Courses Policy
What is the condition for BS (Accounting and Finance) students?,They can take additional courses in 6th and 7th semesters only.,Additional Courses Policy
Why can't BS (Accounting and Finance) students take courses in 8th semester?,Because their 8th semester is reserved for Practicumship.,Additional Courses Policy
What is the total maximum credit hour load allowed including additional courses?,21 credit hours.,Additional Courses Policy
Can drop-out students enroll in additional courses?,"Yes, up to three additional courses.",Additional Courses Policy
What is the condition for drop-out students to take additional courses?,There must be no timetable clashes.,Additional Courses Policy
Do students need to pay for additional courses?,"Yes, they must pay according to the summer semester fee structure.",Additional Courses Policy
What is the purpose of this policy?,To streamline academic scheduling and maintain structure.,Additional Courses Policy
Can students from early semesters take additional courses during Fall or Spring?,"No, they are restricted to the Summer Semester.",Additional Courses Policy
Is this policy applicable to all programs?,"Yes, except for the special condition mentioned for BS (A&F).",Additional Courses Policy
Who is responsible for enforcing this policy?,HoDs and program coordinators.,Additional Courses Policy
How should departments communicate this policy?,"By disseminating it to faculty, students, and coordinators.",Additional Courses Policy
By when should 7th and 8th semester students complete their enrolment?,By the end of the 2nd week of each semester.,Additional Courses Policy
Who must approve additional course enrolments for 7th and 8th semester students?,"The respective deans, on HoDs' recommendations.",Additional Courses Policy
Can any student bypass this policy with permission?,"No, strict adherence is required.",Additional Courses Policy
What happens if timetable clashes occur for additional courses?,Students are not allowed to enroll in clashing courses.,Additional Courses Policy
Is CMS enrolment part of the additional course process?,"Yes, it must be completed.",Additional Courses Policy
Are there financial implications for taking additional courses?,"Yes, course fees apply.",Additional Courses Policy
Why is early semester enrolment in regular semesters restricted?,To help students focus on their core curriculum.,Additional Courses Policy
Can a student from Semester 5 take additional courses in Fall?,"No, only in the Summer Semester.",Additional Courses Policy
Are there exceptions for high-performing students in early semesters?,No exceptions are mentioned.,Additional Courses Policy
What is the key difference for BS (A&F) students?,"Their 8th semester is a practicum, so they are limited to 6th & 7th.",Additional Courses Policy
Does the policy apply retroactively before Spring 2024?,"No, it is applicable from Spring 2024 onward.",Additional Courses Policy
Is the policy a replacement for a previous circular?,"Yes, it supersedes Circular #SUK-IBA/Rgr/130/24 dated Jan 23, 2024.",Additional Courses Policy
What policy has Sukkur IBA University adopted?,The HEC Graduate Education Policy 2023.,Graduate Education Policy
When was this policy adopted?,From Fall 2023 onward.,Graduate Education Policy
Who approved the adoption of this policy at Sukkur IBA University?,The Board of Advanced Studies and Research (BASR).,Graduate Education Policy
What was the BASR resolution number for this adoption?,Resolution #12.2 from the 12th BASR meeting.,Graduate Education Policy
Are there customizations made to the HEC policy?,"Yes, specific customizations were approved.",Graduate Education Policy
Which degree programs does this policy apply to?,"Graduate programs, including Masters and PhD.",Graduate Education Policy
Does Sukkur IBA allow interdisciplinary admissions?,"No, it maintains admissions to relevant fields only.",Graduate Education Policy
Who determines the relevance of the field for admissions?,The Admission Committee.,Graduate Education Policy
Can the Admission Committee seek help for relevancy issues?,"Yes, from the relevant Dean and Head of Department.",Graduate Education Policy
Is the HEC requirement for external PhD dissertation evaluation adopted?,"Yes, Section 3.9 is fully adopted.",Graduate Education Policy
